name,bmag,ks_mag,ks_mag_flag,distance,fuv_mag,halpha_mag,log_mass_26,log_h1_mass,ha_sfr,fuv_sfr
DDO148,13.7,10.99,C,9.0,17.36,,8.65,7.82,,0.0046045221524302505
SexA,11.86,10.18,,1.32,12.91,15.53,8.4,7.82,0.003537414145617443,0.005968255545437677
UGC06145,16.45,13.88,C,10.7,18.44,21.76,8.2,7.97,0.0007486961521622312,0.002406950191250966
KDG155,16.4,13.96,C,8.11,20.48,,8.26,7.65,,0.00021122302414211988
CGCG 014-054,15.6,13.18,C,9.6,17.81,,8.2,7.7,,0.0034613220890356913
UGC05797,14.28,11.81,,7.0,17.12,19.33,8.59,7.65,0.0030042365519212704,0.003474526495944329
UGC07512,15.2,12.78,C,10.6,17.4,,8.66,8.26,,0.006156179556554543
NGC4765,13.37,10.82,,9.7,15.04,,9.09,8.43,,0.04531510768419859
CGCG 035-007,15.22,12.68,C,13.0,17.49,19.43,8.99,8.17,0.009449846420177536,0.008522877619818394
KK49,16.1,10.39,,5.15,,16.68,8.48,7.73,0.018670351908705286,
IC3591,14.39,11.6,,9.8,16.09,16.79,8.88,8.24,0.06109282349296567,0.01758537764549299
AGC191803,16.5,14.05,C,14.9,18.56,,8.39,7.97,,0.004178997243258541
UGC05288,14.62,11.49,,6.85,15.99,17.53,8.87,8.28,0.015097991924440678,0.009420646134827362
LeG03,17.3,14.6,C,10.4,,,8.49,7.69,,
VCC1725,14.89,11.74,,8.5,15.95,,8.63,7.6,,0.015050031165283832
IC0559,14.98,12.52,C,9.4,16.68,19.04,8.81,8.0,0.007076096597816446,0.00939626496702876
UGC06014,15.0,12.49,C,10.4,17.27,,8.94,7.8,,0.0066798425584532264
UGC05456,13.84,11.63,,5.6,15.31,17.16,8.39,7.71,0.014187768703815438,0.011778109886301909
AGC202248,17.5,15.08,C,10.4,19.16,,8.23,7.18,,0.0011715645618643894
CGCG 066-109,16.2,13.8,C,10.4,17.73,20.03,8.04,7.65,0.0034802041803985388,0.004372866575837603
UGC08061,15.97,13.5,C,6.49,18.0,20.49,8.38,7.32,0.000887212065616961,0.0013279720712662062
IC3718,14.0,11.91,,6.8,18.39,19.88,8.77,7.13,0.001708267471325374,0.0010179287327797097
UGC05812,15.5,12.81,C,10.4,17.89,,8.53,7.6,,0.0037736900471950275
IC3583,13.31,11.2,,7.6,15.43,,9.25,7.83,,0.019423466119922263
IC2787,15.7,13.23,C,10.3,,25.36,8.98,7.27,2.5189090988004754e-05,
AGC205268,17.4,14.93,C,10.4,20.27,,8.18,8.03,,0.0004214695722227435
DDO088,14.4,11.91,C,7.73,16.59,18.89,9.15,7.87,0.005494105992532615,0.006903328429455456
IC3023,15.35,12.85,C,7.7,16.78,,8.17,7.57,,0.005750174152997505
UGC04115,15.23,12.13,,7.73,15.82,17.89,8.84,8.34,0.013800570295918163,0.014030027932399127
IC3077,15.01,12.69,,9.1,20.3,,8.54,6.97,,0.00031389350715657475
LSBC D634-03,17.5,15.0,C,9.55,21.1,24.86,8.32,6.7,3.431980320906766e-05,0.00016546505614119177
DDO013,14.37,11.76,C,9.04,15.97,17.66,8.68,8.66,0.023327860345926692,0.01671230714921321
UGC00685,14.22,11.64,C,4.51,16.51,17.97,8.69,7.74,0.004364064186115603,0.0025296045373693803
UGC01056,14.81,12.0,,7.3,17.24,18.17,8.03,7.64,0.009510071146837993,0.0033833370769506023
DDO047,13.62,11.0,,8.05,15.04,17.79,9.4,8.81,0.01641080203177269,0.03120982320868616
UGC02684,16.29,13.46,,6.49,17.83,20.28,8.79,7.92,0.0010765332284176125,0.0015530625286372174
