name,ra_deg,dec_deg
UGC05288,147.821838,7.82557
LeG03,158.9535,8.48053
VCC1725,189.4230034583333,8.55859188888889
IC0559,146.182566,9.615936
UGC06014,163.427875,9.727925
UGC05456,151.8340916666667,10.361155555555555
AGC202248,158.733879,11.492359
CGCG 066-109,166.11,11.75634
UGC08061,194.182085,11.93137
IC3718,191.1916333333333,12.351452777777777
UGC05812,160.236275,12.473857
IC3583,189.1814916666666,13.259147222222222
IC2787,170.829486,13.629777
AGC205268,160.718475,13.741080555555556
DDO088,161.84333870733,14.07130480445
IC3023,182.507268,14.366871
UGC04115,119.254281,14.396571
IC3077,183.98481666666663,14.433574999999998
LSBC D634-03,137.22375,14.58286
DDO013,25.043291666666665,15.905166666666668
UGC00685,16.8459669,16.6836077
UGC01056,22.1968,16.687975
DDO047,115.48460804088,16.802069897830002
UGC02684,50.09879,17.29586
UGC02716,51.030238,17.753038
UGC01104,23.17716273209,18.317087342930005
UGC06881,178.687081,20.056461
UGC05672,157.08793749999998,22.569702777777778
NGC4455,187.18385083352,22.82042726653
UGC1561,31.020399999999995,24.2097
UGC08030,193.622065,26.304284
UGCA298,191.73083954597,26.56429866712
IC3308,186.32514899999995,26.714338000000005
AGC749236,186.427326,26.809596
DDO154,193.52186666666665,27.14963055555556
IC3341,186.597395,27.745539
NGC0855,33.51505,27.87717222222222
UGC07990,192.608221,28.352449
UGCA294,191.158929797,28.47247384388
DDO068,149.191862,28.828824
NGC0784,30.32055,28.83725833333333
UGC05427,151.170621,29.364318
KISSB023,145.053513,29.591749
DDO131,187.994039,29.709606
UGC12713,354.5614916666666,30.709233333333334
IC2992,181.3160083333333,30.85541388888889
UGC07131,182.299155,30.906816
KUG 1157+315,180.067352,31.225059
DDO064,147.594869,31.488277
DDO133,188.22708333333333,31.541666666666668
DDO083,159.1797619096,31.5472747789
NGC4509,188.2770833333333,32.09093055555556
UGC05209,146.267484,32.237786
UGC01281,27.382130000000004,32.58783
FGC1497,191.752695,32.651598
UGC03476,97.61792,33.30056
DDO025,38.32583,33.49111
LV J0926+3343,141.53937,33.71781
DDO143,191.103672,34.384259
DDO084,160.678279,34.449276
NGC4861,194.75975,34.85943888888889
UGC7257,183.7623125,35.958447222222226
DDO019,36.25092,36.03778
NGC4214,183.913225,36.32688888888889
NGC4190,183.4365208333333,36.634025
DDO126,186.773192,37.141774
DDO127,187.117018,37.234822
IC4182,196.45311596836,37.60360143269
IC3687,190.56314201313,38.50162350915
DDO022,38.225,38.68058
