name,bmag,ks_mag,ks_mag_flag,distance,fuv_mag,halpha_mag,log_mass_26,log_h1_mass,ha_sfr,fuv_sfr,ra_deg,dec_deg,ebv_sfd,gal_b,low_gal_lat,A_B,A_Ks,bmag_dered,ks_mag_dered,BK_obs,BK_dered,deredden_suspect,high_foreground,very_blue
NGC5398,12.78,10.34,,8.1,14.93,,9.38,8.46,,0.0349679027443542,210.3398125,-33.06378333333333,0.0657697543501854,27.55827406411793,False,0.23848112927377224,0.02012554483115673,12.541518870726227,10.319874455168843,2.4399999999999995,2.2216444155573836,False,False,False
UGCA442,13.6,11.42,,4.27,14.97,17.51,9.16,8.2,0.0059757689286075,0.0093660246809088,355.9397875,-31.956769444444447,0.016773175448179245,-74.52891286494243,False,0.06081953417509794,0.005132591687142849,13.539180465824902,11.414867408312857,2.1799999999999997,2.1243130575120457,False,False,False
NGC1800,13.13,10.21,,8.0,14.73,16.49,8.7,8.13,0.053668322363708,0.0410090323525783,76.6072375,-31.954225000000005,0.014485330320894718,-35.12324935451197,False,0.052523807743564244,0.004432511078193784,13.077476192256437,10.205567488921806,2.92,2.871908703334631,False,False,False
KK246,17.06,13.3,,7.83,19.96,,8.17,8.07,,0.0003178506266183,,,,,False,,,,,3.759999999999998,,False,False,False
NGC5253,10.87,8.29,,3.56,12.82,13.21,8.91,7.94,0.2179907380145012,0.0471627959856652,204.98329166666667,-31.64003055555556,0.05563053861260414,30.105957693460546,False,0.2017163330093026,0.017022944815456867,10.668283666990696,8.272977055184542,2.58,2.395306611806154,False,False,False
NGC5264,12.6,9.5,,4.53,15.34,17.13,8.1,7.65,0.0095440883240801,0.0074971457141777,205.4028458333333,-29.913125,0.05082041025161743,31.710041513731305,False,0.1842748075723648,0.015551045536994934,12.415725192427635,9.484448954463005,3.0999999999999996,2.9312762379646298,False,False,False
HIZSS021,17.5,11.13,C,3.0,,,8.6,7.66,,,116.525,-28.42666666666667,1.0059788227081299,-1.8425384212398388,True,3.6476792111396787,0.3078295197486877,13.852320788860322,10.822170480251312,6.369999999999999,3.0301503086090094,True,True,False
CGMW2-3473,15.22,11.93,C,7.4,,,8.32,7.78,,,126.301634,-28.1421808,0.24606426060199738,5.573992541020962,True,0.8922290089428424,0.07529566374421119,14.327770991057157,11.85470433625579,3.290000000000001,2.473066654801368,True,False,False
ESO409-015,15.15,12.74,C,7.7,16.08,17.21,8.2,7.99,0.0256164825756877,0.0109567309699842,1.38273,-28.098180000000003,0.01707647368311882,-79.78820983751783,False,0.06191929357498884,0.005225400947034359,15.08808070642501,12.734774599052965,2.41,2.3533061073720454,False,False,False
ESO444-084,15.06,12.6,,4.61,16.56,18.61,8.4,7.9,0.0025289479826689,0.0025240700208473,204.33329,-28.045,0.06870467960834503,33.738236429113044,False,0.24912316825985908,0.02102363196015358,14.810876831740142,12.578976368039847,2.460000000000001,2.2319004637002955,False,False,False
NGC1592,14.45,12.66,,9.1,14.36,,8.68,7.99,,0.0746074733519722,67.42018189928,-27.40870673349,0.037825807929039,-41.914960364654966,False,0.13715637955069543,0.011574697226285935,14.312843620449303,12.648425302773715,1.7899999999999991,1.6644183176755885,False,False,False
MCG -04-31-038,15.09,10.8,,7.8,16.79,,8.43,7.98,,0.0058464030630859,197.4025,-27.14075,0.07619237899780273,35.55556098694356,False,0.2762735662460327,0.023314867973327637,14.813726433753967,10.776685132026673,4.289999999999999,4.037041301727294,False,False,False
NGC3037,13.64,11.12,,8.1,15.9,16.76,9.38,8.31,0.0429050175066505,0.0143109869465293,147.85002112499998,-27.011135000000003,0.09104546904563904,20.70067344797656,False,0.33013087075948716,0.027859913527965546,13.309869129240514,11.092140086472034,2.5200000000000014,2.2177290427684806,False,False,False
ESO499-038,15.68,13.06,C,15.3,16.81,,8.77,8.73,,0.0220842375228287,150.95896,-26.612749999999995,0.07039201259613037,22.828911686151436,False,0.2552414376735687,0.02153995585441589,15.424758562326431,13.038460044145584,2.619999999999999,2.3862985181808476,False,False,False
ESO496-010,14.83,11.9,,7.8,17.76,,8.47,7.68,,0.0023927027746461,132.27512916666666,-26.321761111111105,0.09894055128097534,10.929517934158952,False,0.35875843894481657,0.030275808691978455,14.471241561055184,11.869724191308022,2.9299999999999997,2.601517369747162,False,False,False
NGC3109,10.39,7.5,,1.32,11.98,14.11,9.37,8.37,0.0130823543460266,0.0140555359483915,150.77865416666668,-26.159572222222227,0.06676636636257172,23.070173917087327,False,0.24209484443068505,0.020430508106946944,10.147905155569315,7.479569491893053,2.8900000000000006,2.6683356636762623,False,False,False
ESO490-017,14.01,12.0,,4.23,,17.26,8.05,7.55,0.0073827605095206,,99.48788000000002,-26.00086,0.07705887407064438,-14.296524676840122,False,0.2794154773801565,0.02358001546561718,13.730584522619843,11.976419984534383,2.01,1.75416453808546,False,False,False
ESO486-021,14.37,11.43,,10.0,15.55,17.58,8.9,8.47,0.0307282654412113,0.0301092229719955,75.83203,-25.42293,0.033604562282562256,-34.12602802121943,False,0.12185014283657074,0.01028299605846405,14.248149857163428,11.419717003941535,2.9399999999999995,2.8284328532218925,False,False,False
ESO501-023,13.2,10.34,C,7.0,14.72,,9.22,8.53,,0.0316880582593051,158.84667,-24.75414,0.06309207528829575,28.620316307896072,False,0.22877186499536037,0.019306175038218496,12.971228135004639,10.320693824961781,2.8599999999999994,2.6505343100428576,False,False,False
ESO497-004,16.36,12.79,C,19.0,19.16,20.76,9.18,8.69,0.0059298710266769,0.0039102700335895,135.76319,-23.808540000000004,0.2344975471496582,14.966342931736518,False,0.8502881059646606,0.0717562494277954,15.50971189403534,12.718243750572205,3.5700000000000003,2.7914681434631348,False,False,False
ESO495-008,16.06,13.21,C,17.3,,19.66,8.9,8.26,0.0135403612734851,,125.25505959999998,-23.7801314,0.11208270490169525,7.2633879400636605,True,0.406411887973547,0.03429730769991875,15.653588112026451,13.175702692300082,2.849999999999998,2.4778854197263698,True,False,False
ESO483-013,14.06,10.84,,7.4,16.21,17.84,8.68,7.63,0.0132434606424199,0.0089776565565216,63.17132916666668,-23.15888611111111,0.05256751552224159,-44.5784502584825,False,0.190609811283648,0.016085659749805928,13.869390188716352,10.823914340250194,3.2200000000000006,3.0454758484661575,False,False,False
DDO056,15.63,12.6,C,9.8,,19.46,8.97,7.86,0.0052238439764974,,137.44393,-23.00917,0.1716853380203247,16.6635136771164,False,0.6225310356616973,0.05253571343421936,15.007468964338303,12.54746428656578,3.030000000000001,2.460004677772522,False,False,False
ESO473-024,16.38,13.96,C,9.9,16.92,19.06,8.4,8.18,0.0077056350251862,0.0083554517765485,7.843790000000001,-22.76596,0.019262421876192093,-83.69980596289531,False,0.06984554172307253,0.00589430109411478,16.310154458276926,13.954105698905886,2.419999999999998,2.35604875937104,False,False,False
ESO558-011,14.43,10.2,C,8.4,,18.42,9.48,8.07,0.0100022249564001,,106.73666666666664,-22.04055555555556,0.3624038100242615,-6.622801749353862,True,1.3140762151479721,0.11089556586742401,13.115923784852027,10.089104434132576,4.23,3.0268193507194514,True,True,False
NGC0059,12.97,10.1,,5.3,16.25,17.26,8.25,7.4,0.0115901694366164,0.0044386539450018,3.854691666666666,-21.44435555555556,0.021491453051567078,-80.02185640403653,False,0.07792800876498222,0.006576384633779526,12.892071991235019,10.09342361536622,2.870000000000001,2.798648375868799,False,False,False
PGC170257,15.33,12.6,,6.5,17.55,,8.26,7.16,,0.0020161658814112,202.3375228256,-21.17919775394,0.1080825999379158,40.82906040826309,False,0.39190750737488267,0.03307327558100223,14.938092492625117,12.566926724418998,2.7300000000000004,2.3711657682061187,False,False,False
ESO553-046,14.6,12.0,,5.07,15.48,16.16,8.37,7.21,0.0292115071305882,0.0082549693764845,81.77378567922,-20.678064392260005,0.045250602066516876,-27.424180194819876,False,0.16407868309319018,0.013846684232354163,14.435921316906809,11.986153315767647,2.5999999999999996,2.4497680011391623,False,False,False
HIZSS014,18.4,10.82,C,7.35,,,8.38,7.92,,,114.0944372,-19.4941435,1.314355731010437,0.6470169016589422,True,4.765853880643845,0.4021928536891937,13.634146119356153,10.417807146310807,7.579999999999998,3.216338973045346,True,True,False
ESO572-034,14.27,11.5,,8.5,,,8.56,8.12,,,179.74214166666667,-19.02990833333334,0.0392623171210289,42.12242850929356,False,0.1423651618808508,0.012014269039034842,14.12763483811915,11.487985730960965,2.7699999999999996,2.639649107158185,False,False,False
KKSG9,16.4,11.66,,10.0,,19.6,9.42,8.64,0.0047812124945362,,,,,,False,,,,,4.739999999999998,,False,False,False
IC2171,15.17,10.81,C,9.9,,17.67,9.29,8.38,0.0277209707726356,,101.1154,-17.93241388888889,0.41618332266807556,-9.564987381436447,True,1.509080727994442,0.1273520967364311,13.660919272005557,10.68264790326357,4.359999999999999,2.9782713687419875,True,True,False
UGCA319,15.08,12.07,,7.3,17.25,21.08,8.94,7.97,0.0006519041803884,0.0033523184561827,195.55994,-17.23754,0.08139840513467789,45.556913609809534,False,0.295150617018342,0.024907911971211432,14.784849382981658,12.045092088028788,3.01,2.73975729495287,False,False,False
MCG -03-34-002,14.79,12.55,,7.9,16.77,,8.44,7.72,,0.0061087693881333,196.9860708333333,-16.689097222222227,0.08021757006645203,46.00005741373556,False,0.290868909060955,0.024546576440334318,14.499131090939045,12.525453423559666,2.2399999999999984,1.9736776673793788,False,False,False
